GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
workshop-api,nl.hsleiden.resource,UserResource,34,0,0,0,12,0,7,0,7,0
workshop-api,nl.hsleiden.resource,DefaultResource,17,0,0,0,3,0,2,0,2,0
workshop-api,nl.hsleiden.resource,AuthenticationResource,11,0,0,0,5,0,2,0,2,0
workshop-api,nl.hsleiden.resource,SockResource,31,0,0,0,11,0,6,0,6,0
workshop-api,nl.hsleiden,ApiApplication,137,0,0,0,34,0,8,0,8,0
workshop-api,nl.hsleiden,ClientFilter,157,0,14,0,18,0,14,0,7,0
workshop-api,nl.hsleiden,View.Internal,3,0,0,0,1,0,1,0,1,0
workshop-api,nl.hsleiden,View.Protected,3,0,0,0,1,0,1,0,1,0
workshop-api,nl.hsleiden,View.Public,3,0,0,0,1,0,1,0,1,0
workshop-api,nl.hsleiden,ApiGuiceModule,4,0,0,0,2,0,2,0,2,0
workshop-api,nl.hsleiden,ApiConfiguration,18,0,0,0,6,0,4,0,4,0
workshop-api,nl.hsleiden,View,3,0,0,0,1,0,1,0,1,0
workshop-api,nl.hsleiden,View.Private,3,0,0,0,1,0,1,0,1,0
workshop-api,nl.hsleiden,ApiUnauthorizedHandler,11,0,0,0,5,0,2,0,2,0
workshop-api,nl.hsleiden.persistence,UserDAO,318,0,4,0,93,0,9,0,7,0
workshop-api,nl.hsleiden.persistence,SockDAO,272,0,4,0,84,0,9,0,7,0
workshop-api,nl.hsleiden.persistence,JDBC,30,0,0,0,11,0,2,0,2,0
workshop-api,nl.hsleiden.service,BaseService,20,0,4,0,7,0,5,0,3,0
workshop-api,nl.hsleiden.service,SockService,34,0,0,0,11,0,6,0,6,0
workshop-api,nl.hsleiden.service,AuthenticationService,29,0,4,0,8,0,5,0,3,0
workshop-api,nl.hsleiden.service,UserService,58,0,2,0,16,0,7,0,6,0
workshop-api,nl.hsleiden.model,User,82,0,6,0,26,0,19,0,16,0
workshop-api,nl.hsleiden.model,Sock,45,0,0,0,19,0,13,0,13,0
